bullet_x,bullet_y,package_x,package_y,time
-1.650000,-0.900000,1.500000,0.400000,0.021000
-1.650000,-0.900000,1.500000,0.400000,0.038000
-1.650000,-0.900000,1.500000,0.400000,0.055000
-1.650000,-0.900000,1.500000,0.400000,0.072000
-1.650000,-0.900000,1.500000,0.400000,0.088000
-1.650000,-0.900000,1.500000,0.400000,0.104000
-1.650000,-0.900000,1.500000,0.400000,0.121000
-1.650000,-0.900000,1.500000,0.400000,0.138000
-1.650000,-0.900000,1.500000,0.400000,0.155000
-1.650000,-0.900000,1.500000,0.400000,0.172000
-1.650000,-0.900000,1.500000,0.400000,0.189000
-1.650000,-0.900000,1.500000,0.400000,0.206000
-1.650000,-0.900000,1.500000,0.400000,0.223000
-1.650000,-0.900000,1.500000,0.400000,0.239000
-1.650000,-0.900000,1.500000,0.400000,0.255000
-1.650000,-0.900000,1.500000,0.400000,0.272000
-1.650000,-0.900000,1.500000,0.400000,0.288000
-1.650000,-0.900000,1.500000,0.400000,0.304000
-1.650000,-0.900000,1.500000,0.400000,0.320000
-1.650000,-0.900000,1.500000,0.400000,0.337000
-1.650000,-0.900000,1.500000,0.400000,0.353000
-1.650000,-0.900000,1.500000,0.400000,0.369000
-1.650000,-0.900000,1.500000,0.400000,0.386000
-1.650000,-0.900000,1.500000,0.400000,0.402000
-1.650000,-0.900000,1.500000,0.400000,0.418000
-1.650000,-0.900000,1.500000,0.400000,0.435000
-1.650000,-0.900000,1.500000,0.400000,0.453000
-1.650000,-0.900000,1.500000,0.400000,0.469000
-1.650000,-0.900000,1.500000,0.400000,0.485000
-1.650000,-0.900000,1.500000,0.400000,0.501000
-1.650000,-0.900000,1.500000,0.400000,0.518000
-1.650000,-0.900000,1.500000,0.400000,0.535000
-1.650000,-0.900000,1.500000,0.400000,0.551000
-1.650000,-0.900000,1.500000,0.400000,0.567000
-1.650000,-0.900000,1.500000,0.400000,0.584000
-1.650000,-0.900000,1.500000,0.400000,0.601000
-1.650000,-0.900000,1.500000,0.400000,0.618000
-1.650000,-0.900000,1.500000,0.400000,0.635000
-1.650000,-0.900000,1.500000,0.400000,0.652000
-1.650000,-0.900000,1.500000,0.400000,0.668000
-1.650000,-0.900000,1.500000,0.400000,0.684000
-1.650000,-0.900000,1.500000,0.400000,0.700000
-1.650000,-0.900000,1.500000,0.400000,0.717000
-1.650000,-0.900000,1.500000,0.400000,0.734000
-1.650000,-0.900000,1.500000,0.400000,0.750000
-1.650000,-0.900000,1.500000,0.400000,0.767000
-1.650000,-0.900000,1.500000,0.400000,0.783000
-1.650000,-0.900000,1.500000,0.400000,0.800000
-1.650000,-0.900000,1.500000,0.400000,0.816000
-1.650000,-0.900000,1.500000,0.400000,0.833000
-1.650000,-0.900000,1.500000,0.400000,0.849000
-1.650000,-0.900000,1.500000,0.400000,0.866000
-1.650000,-0.900000,1.500000,0.400000,0.882000
-1.650000,-0.900000,1.500000,0.400000,0.898000
-1.650000,-0.900000,1.500000,0.400000,0.915000
-1.650000,-0.900000,1.500000,0.400000,0.931000
-1.650000,-0.900000,1.500000,0.400000,0.947000
-1.650000,-0.900000,1.500000,0.400000,0.964000
-1.650000,-0.900000,1.500000,0.400000,0.980000
-1.650000,-0.900000,1.500000,0.400000,0.997000
-1.650000,-0.900000,1.500000,0.400000,1.013000
-1.650000,-0.900000,1.500000,0.400000,1.030000
-1.650000,-0.900000,1.500000,0.400000,1.046000
-1.650000,-0.900000,1.500000,0.400000,1.062000
-1.650000,-0.900000,1.500000,0.400000,1.079000
-1.650000,-0.900000,1.500000,0.400000,1.096000
-1.650000,-0.900000,1.500000,0.400000,1.113000
-1.650000,-0.900000,1.500000,0.400000,1.129000
-1.650000,-0.900000,1.500000,0.400000,1.146000
-1.650000,-0.900000,1.500000,0.400000,1.163000
-1.650000,-0.900000,1.500000,0.400000,1.180000
-1.650000,-0.900000,1.500000,0.400000,1.196000
-1.650000,-0.900000,1.500000,0.400000,1.213000
-1.650000,-0.900000,1.500000,0.400000,1.229000
-1.650000,-0.900000,1.500000,0.400000,1.245000
-1.650000,-0.900000,1.500000,0.400000,1.261000
-1.650000,-0.900000,1.500000,0.400000,1.277000
-1.650000,-0.900000,1.500000,0.400000,1.294000
-1.650000,-0.900000,1.500000,0.400000,1.310000
-1.650000,-0.900000,1.500000,0.400000,1.326000
-1.650000,-0.900000,1.500000,0.400000,1.343000
-1.650000,-0.900000,1.500000,0.400000,1.360000
-1.650000,-0.900000,1.500000,0.400000,1.376000
-1.650000,-0.900000,1.500000,0.400000,1.393000
-1.650000,-0.900000,1.500000,0.400000,1.410000
-1.650000,-0.900000,1.500000,0.400000,1.427000
-1.650000,-0.900000,1.500000,0.400000,1.444000
-1.650000,-0.900000,1.500000,0.400000,1.461000
-1.650000,-0.900000,1.500000,0.400000,1.478000
-1.650000,-0.900000,1.500000,0.400000,1.495000
-1.650000,-0.900000,1.500000,0.400000,1.511000
-1.650000,-0.900000,1.500000,0.400000,1.528000
-1.650000,-0.900000,1.500000,0.400000,1.544000
-1.650000,-0.900000,1.500000,0.400000,1.560000
-1.650000,-0.900000,1.500000,0.400000,1.577000
-1.650000,-0.900000,1.500000,0.400000,1.593000
-1.650000,-0.900000,1.500000,0.400000,1.610000
-1.650000,-0.900000,1.500000,0.400000,1.626000
-1.650000,-0.900000,1.500000,0.400000,1.643000
-1.650000,-0.900000,1.500000,0.400000,1.659000
-1.650000,-0.900000,1.500000,0.400000,1.676000
-1.650000,-0.900000,1.500000,0.400000,1.692000
-1.650000,-0.900000,1.500000,0.400000,1.708000
-1.650000,-0.900000,1.500000,0.400000,1.724000
-1.650000,-0.900000,1.500000,0.400000,1.741000
-1.650000,-0.900000,1.500000,0.400000,1.757000
-1.650000,-0.900000,1.500000,0.400000,1.774000
-1.650000,-0.900000,1.500000,0.400000,1.791000
-1.650000,-0.900000,1.500000,0.400000,1.808000
-1.650000,-0.900000,1.500000,0.400000,1.825000
-1.650000,-0.900000,1.500000,0.400000,1.841000
-1.650000,-0.900000,1.500000,0.400000,1.858000
-1.650000,-0.900000,1.500000,0.400000,1.874000
-1.650000,-0.900000,1.500000,0.400000,1.890000
-1.650000,-0.900000,1.500000,0.400000,1.907000
-1.650000,-0.900000,1.500000,0.400000,1.923000
-1.650000,-0.900000,1.500000,0.400000,1.940000
-1.650000,-0.900000,1.500000,0.400000,1.956000
-1.650000,-0.900000,1.500000,0.400000,1.972000
-1.650000,-0.900000,1.500000,0.400000,1.989000
-1.650000,-0.900000,1.500000,0.400000,2.005000
-1.650000,-0.900000,1.500000,0.400000,2.021000
-1.650000,-0.900000,1.500000,0.400000,2.038000
-1.650000,-0.900000,1.500000,0.400000,2.054000
-1.650000,-0.900000,1.500000,0.400000,2.071000
-1.650000,-0.900000,1.500000,0.400000,2.087000
-1.650000,-0.900000,1.500000,0.400000,2.103000
-1.650000,-0.900000,1.500000,0.400000,2.120000
-1.650000,-0.900000,1.500000,0.400000,2.136000
-1.650000,-0.900000,1.500000,0.400000,2.152000
-1.650000,-0.900000,1.500000,0.400000,2.168000
-1.650000,-0.900000,1.500000,0.400000,2.185000
-1.650000,-0.900000,1.500000,0.400000,2.201000
-1.650000,-0.900000,1.500000,0.400000,2.217000
-1.650000,-0.900000,1.500000,0.400000,2.234000
-1.650000,-0.900000,1.500000,0.400000,2.250000
-1.650000,-0.900000,1.500000,0.400000,2.267000
-1.650000,-0.900000,1.500000,0.400000,2.283000
-1.650000,-0.900000,1.500000,0.400000,2.300000
-1.650000,-0.900000,1.500000,0.400000,2.316000
-1.650000,-0.900000,1.500000,0.400000,2.332000
-1.650000,-0.900000,1.500000,0.400000,2.349000
-1.650000,-0.900000,1.500000,0.400000,2.365000
-1.650000,-0.900000,1.500000,0.400000,2.382000
-1.650000,-0.900000,1.500000,0.400000,2.399000
-1.650000,-0.900000,1.500000,0.400000,2.415000
-1.650000,-0.900000,1.500000,0.400000,2.431000
-1.650000,-0.900000,1.500000,0.400000,2.447000
-1.650000,-0.900000,1.500000,0.400000,2.464000
-1.650000,-0.900000,1.500000,0.400000,2.481000
-1.650000,-0.900000,1.500000,0.400000,2.498000
-1.650000,-0.900000,1.500000,0.400000,2.515000
-1.650000,-0.900000,1.500000,0.400000,2.532000
-1.650000,-0.900000,1.500000,0.400000,2.548000
-1.650000,-0.900000,1.500000,0.400000,2.564000
-1.650000,-0.900000,1.500000,0.400000,2.581000
-1.650000,-0.900000,1.500000,0.400000,2.597000
-1.650000,-0.900000,1.500000,0.400000,2.614000
-1.650000,-0.900000,1.500000,0.400000,2.630000
-1.650000,-0.900000,1.490000,0.400000,2.647000
-1.650000,-0.900000,1.490000,0.400000,2.665000
-1.650000,-0.900000,1.490000,0.400000,2.681000
-1.650000,-0.900000,1.490000,0.400000,2.698000
-1.650000,-0.900000,1.490000,0.400000,2.714000
-1.650000,-0.900000,1.490000,0.400000,2.731000
-1.650000,-0.900000,1.490000,0.400000,2.747000
-1.650000,-0.900000,1.490000,0.400000,2.764000
-1.650000,-0.900000,1.490000,0.400000,2.781000
-1.650000,-0.900000,1.490000,0.400000,2.798000
-1.650000,-0.900000,1.490000,0.400000,2.814000
-1.650000,-0.900000,1.490000,0.400000,2.831000
-1.650000,-0.900000,1.490000,0.400000,2.848000
-1.650000,-0.900000,1.490000,0.400000,2.864000
-1.650000,-0.900000,1.490000,0.400000,2.881000
