bullet_x,bullet_y,bullet_z,package_x,package_y,package_z,time
0.000000,0.000000,1.500000,0.400000,0.114000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,0.294000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,0.348000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,0.378000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,0.409000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,0.440000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,0.470000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,0.501000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,0.532000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,0.563000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,0.593000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,0.623000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,0.653000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,0.684000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,0.715000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,0.746000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,0.777000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,0.807000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,0.851000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,0.889000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,0.922000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,0.953000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,0.986000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,1.017000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,1.049000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,1.080000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,1.110000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,1.140000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,1.170000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,1.204000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,1.236000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,1.268000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,1.301000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,1.334000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,1.366000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,1.398000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,1.431000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,1.463000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,1.494000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,1.525000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,1.556000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,1.585000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,1.667000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,1.825000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,1.916000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,1.960000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,2.045000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,2.091000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,2.187000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,2.296000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,2.421000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,2.528000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,2.597000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,2.660000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,2.754000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,2.796000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,2.883000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,2.946000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,2.985000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.019000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.051000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.083000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.122000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.162000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.196000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.231000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.263000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.300000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.337000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.375000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.407000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.447000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.503000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.547000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.577000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.606000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.637000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.666000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.698000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.727000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.759000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.788000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.816000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.847000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.876000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.905000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.935000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.966000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,3.995000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,4.025000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,4.075000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,4.117000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,4.152000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,4.183000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,4.213000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,4.244000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,4.277000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,4.314000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,4.347000,0.000000,0.000000
