x,y,t
-0.139572,0.480125,0.501000
-0.143121,0.479079,0.503000
-0.148430,0.477460,0.506000
-0.151959,0.476349,0.508000
-0.157237,0.474633,0.511000
-0.162496,0.472858,0.514000
-0.165991,0.471643,0.516000
-0.171215,0.469772,0.519000
-0.176419,0.467842,0.522000
-0.181601,0.465855,0.525000
-0.185044,0.464498,0.527000
-0.190188,0.462416,0.530000
-0.195309,0.460276,0.533000
-0.198710,0.458819,0.535000
-0.203790,0.456585,0.538000
-0.207163,0.455064,0.540000
-0.210525,0.453519,0.542000
-0.215546,0.451154,0.545000
-0.218879,0.449547,0.547000
-0.223855,0.447089,0.550000
-0.228804,0.444577,0.553000
-0.233724,0.442010,0.556000
-0.236989,0.440268,0.558000
-0.241861,0.437611,0.561000
-0.245093,0.435809,0.563000
-0.249915,0.433062,0.566000
-0.253113,0.431201,0.568000
-0.257883,0.428365,0.571000
-0.262622,0.425476,0.574000
-0.265763,0.423521,0.576000
-0.270448,0.420545,0.579000
-0.275099,0.417517,0.582000
-0.279717,0.414438,0.585000
-0.282776,0.412356,0.587000
-0.285819,0.410253,0.589000
-0.290356,0.407055,0.592000
-0.293360,0.404895,0.594000
-0.297836,0.401614,0.597000
-0.300800,0.399399,0.599000
-0.305214,0.396036,0.602000
-0.308136,0.393766,0.604000
-0.311042,0.391475,0.606000
-0.315368,0.387999,0.609000
-0.318231,0.385654,0.611000
-0.322492,0.382098,0.614000
-0.326713,0.378495,0.617000
-0.329505,0.376067,0.619000
-0.332279,0.373619,0.621000
-0.336405,0.369907,0.624000
-0.339133,0.367408,0.626000
-0.343190,0.363621,0.629000
-0.347205,0.359789,0.632000
-0.351178,0.355913,0.635000
-0.353802,0.353305,0.637000
-0.357701,0.349356,0.640000
-0.360277,0.346700,0.642000
-0.364103,0.342679,0.645000
-0.366629,0.339976,0.647000
-0.370380,0.335885,0.650000
-0.372855,0.333135,0.652000
-0.375310,0.330367,0.654000
-0.378954,0.326181,0.657000
-0.381357,0.323368,0.659000
-0.384923,0.319115,0.662000
-0.388441,0.314823,0.665000
-0.391912,0.310492,0.668000
-0.394199,0.307583,0.670000
-0.397589,0.303189,0.673000
-0.399821,0.300238,0.675000
-0.403129,0.295782,0.678000
-0.405307,0.292791,0.680000
-0.408532,0.288274,0.683000
-0.410654,0.285243,0.685000
-0.413795,0.280667,0.688000
-0.416884,0.276057,0.691000
-0.419923,0.271412,0.694000
-0.421920,0.268298,0.696000
-0.424872,0.263598,0.699000
-0.426811,0.260447,0.701000
-0.429675,0.255693,0.704000
-0.432487,0.250908,0.707000
-0.435245,0.246092,0.710000
-0.437055,0.242865,0.712000
-0.439723,0.237999,0.715000
-0.441473,0.234738,0.717000
-0.444051,0.229823,0.720000
-0.446575,0.224880,0.723000
-0.448226,0.221570,0.725000
-0.450658,0.216581,0.728000
-0.452248,0.213240,0.730000
-0.454587,0.208207,0.733000
-0.456116,0.204838,0.735000
-0.458361,0.199762,0.738000
-0.459827,0.196365,0.740000
-0.461267,0.192957,0.742000
-0.463381,0.187825,0.745000
-0.465437,0.182670,0.748000
-0.466776,0.179221,0.750000
-0.468089,0.175762,0.752000
-0.470012,0.170555,0.755000
-0.471876,0.165328,0.758000
-0.473682,0.160080,0.761000
-0.475429,0.154812,0.764000
-0.476562,0.151290,0.766000
-0.478212,0.145991,0.769000
-0.479803,0.140674,0.772000
-0.480831,0.137120,0.774000
-0.482323,0.131774,0.777000
-0.483285,0.128201,0.779000
-0.484220,0.124622,0.781000
-0.485574,0.119239,0.784000
-0.486443,0.115643,0.786000
-0.487285,0.112040,0.788000
-0.488499,0.106624,0.791000
-0.489652,0.101196,0.794000
-0.490745,0.095754,0.797000
-0.491778,0.090301,0.800000
-0.492433,0.086660,0.802000
-0.493061,0.083014,0.804000
-0.493661,0.079363,0.806000
-0.494512,0.073878,0.809000
-0.495301,0.068385,0.812000
-0.495794,0.064718,0.814000
-0.496482,0.059211,0.817000
-0.497108,0.053696,0.820000
-0.497492,0.050016,0.822000
-0.498017,0.044491,0.825000
-0.498480,0.038960,0.828000
-0.498882,0.033425,0.831000
-0.499222,0.027886,0.834000
-0.499414,0.024191,0.836000
-0.499580,0.020494,0.838000
-0.499718,0.016797,0.840000
-0.499873,0.011249,0.843000
-0.499985,0.003850,0.847000
-0.500000,0.000150,0.849000
-0.499987,-0.003550,0.851000
-0.499917,-0.009099,0.854000
-0.499836,-0.012798,0.856000
-0.499663,-0.018346,0.859000
-0.499514,-0.022042,0.861000
-0.499021,-0.031279,0.866000
-0.498643,-0.036816,0.869000
-0.498357,-0.040505,0.871000
-0.498043,-0.044192,0.873000
-0.497703,-0.047876,0.875000
-0.497141,-0.053397,0.878000
-0.496732,-0.057075,0.880000
-0.496068,-0.062585,0.883000
-0.495591,-0.066254,0.885000
-0.494825,-0.071751,0.888000
-0.493998,-0.077239,0.891000
-0.493413,-0.080892,0.893000
-0.492801,-0.084541,0.895000
-0.491832,-0.090006,0.898000
-0.491153,-0.093643,0.900000
-0.490083,-0.099089,0.903000
-0.489336,-0.102713,0.905000
-0.488563,-0.106331,0.907000
-0.487763,-0.109943,0.909000
-0.486512,-0.115350,0.912000
-0.485202,-0.120744,0.915000
-0.484295,-0.124331,0.917000
-0.482885,-0.129699,0.920000
-0.481416,-0.135050,0.923000
-0.479887,-0.140386,0.926000
-0.478835,-0.143933,0.928000
-0.477757,-0.147472,0.930000
-0.476091,-0.152766,0.933000
-0.474947,-0.156285,0.935000
-0.473778,-0.159795,0.937000
-0.472582,-0.163297,0.939000
-0.471361,-0.166789,0.941000
-0.470114,-0.170273,0.943000
-0.468841,-0.173747,0.945000
-0.467543,-0.177211,0.947000
-0.465547,-0.182390,0.950000
-0.463494,-0.187546,0.953000
-0.461383,-0.192679,0.956000
-0.459945,-0.196088,0.958000
-0.457740,-0.201182,0.961000
-0.456239,-0.204563,0.963000
-0.453940,-0.209615,0.966000
-0.451586,-0.214640,0.969000
-0.449985,-0.217976,0.971000
-0.448360,-0.221300,0.973000
-0.445876,-0.226263,0.976000
-0.444189,-0.229556,0.978000
-0.441614,-0.234473,0.981000
-0.438984,-0.239360,0.984000
-0.437201,-0.242602,0.986000
-0.435393,-0.245830,0.988000
-0.432638,-0.250648,0.991000
-0.430771,-0.253842,0.993000
-0.428881,-0.257023,0.995000
-0.426968,-0.260190,0.997000
-0.424053,-0.264913,1.000000
-0.422081,-0.268044,1.002000
-0.419080,-0.272712,1.005000
-0.417051,-0.275806,1.007000
-0.413963,-0.280418,1.010000
-0.410825,-0.284996,1.013000
-0.407637,-0.289538,1.016000
-0.404398,-0.294045,1.019000
-0.402211,-0.297029,1.021000
-0.398889,-0.301476,1.024000
-0.395518,-0.305884,1.027000
-0.392099,-0.310256,1.030000
-0.388631,-0.314589,1.033000
-0.386292,-0.317456,1.035000
-0.383933,-0.320306,1.037000
-0.380354,-0.324548,1.040000
-0.377941,-0.327353,1.042000
-0.375509,-0.330141,1.044000
-0.371821,-0.334289,1.047000
-0.369337,-0.337031,1.049000
-0.365574,-0.341110,1.052000
-0.363039,-0.343806,1.054000
-0.359201,-0.347814,1.057000
-0.355318,-0.351780,1.060000
-0.351392,-0.355702,1.063000
-0.348750,-0.358293,1.065000
-0.344751,-0.362141,1.068000
-0.342062,-0.364683,1.070000
-0.339354,-0.367204,1.072000
-0.335257,-0.370948,1.075000
-0.331119,-0.374646,1.078000
-0.328338,-0.377086,1.080000
-0.325538,-0.379506,1.082000
-0.322721,-0.381904,1.084000
-0.318462,-0.385463,1.087000
-0.315601,-0.387809,1.089000
-0.311277,-0.391288,1.092000
-0.308373,-0.393581,1.094000
-0.305452,-0.395852,1.096000
-0.301039,-0.399219,1.099000
-0.298077,-0.401435,1.101000
-0.295098,-0.403630,1.103000
-0.290599,-0.406881,1.106000
-0.286065,-0.410081,1.109000
-0.281496,-0.413231,1.112000
-0.276891,-0.416331,1.115000
-0.273803,-0.418368,1.117000
-0.269142,-0.421382,1.120000
-0.266017,-0.423362,1.122000
-0.262876,-0.425319,1.124000
-0.258139,-0.428210,1.127000
-0.254963,-0.430109,1.129000
-0.250173,-0.432913,1.132000
-0.245353,-0.435663,1.135000
-0.242122,-0.437467,1.137000
-0.237251,-0.440127,1.140000
-0.233988,-0.441871,1.142000
-0.229069,-0.444441,1.145000
-0.224121,-0.446956,1.148000
-0.220808,-0.448602,1.150000
-0.215814,-0.451026,1.153000
-0.210795,-0.453393,1.156000
-0.207434,-0.454941,1.158000
-0.202371,-0.457215,1.161000
-0.198982,-0.458700,1.163000
-0.193878,-0.460881,1.166000
-0.188751,-0.463005,1.169000
-0.183600,-0.465071,1.172000
-0.180153,-0.466417,1.174000
-0.176697,-0.467737,1.176000
-0.173231,-0.469032,1.178000
-0.169755,-0.470301,1.180000
-0.164524,-0.472157,1.183000
-0.159273,-0.473954,1.186000
-0.154002,-0.475692,1.189000
-0.148713,-0.477373,1.192000
-0.145176,-0.478460,1.194000
-0.141631,-0.479521,1.196000
-0.136300,-0.481064,1.199000
-0.132736,-0.482059,1.201000
-0.129166,-0.483028,1.203000
-0.123796,-0.484432,1.206000
-0.118411,-0.485776,1.209000
-0.114813,-0.486639,1.211000
-0.111209,-0.487476,1.213000
-0.105791,-0.488680,1.216000
-0.102172,-0.489450,1.218000
-0.096733,-0.490554,1.221000
-0.093100,-0.491256,1.223000
-0.087641,-0.492259,1.226000
-0.082172,-0.493202,1.229000
-0.076692,-0.494083,1.232000
-0.073034,-0.494637,1.234000
-0.069372,-0.495164,1.236000
-0.063871,-0.495904,1.239000
-0.060199,-0.496363,1.241000
-0.054686,-0.497000,1.244000
-0.051007,-0.497392,1.246000
-0.045483,-0.497927,1.249000
-0.041796,-0.498250,1.251000
-0.038108,-0.498546,1.253000
-0.032572,-0.498938,1.256000
-0.028879,-0.499165,1.258000
-0.023337,-0.499455,1.261000
-0.017791,-0.499683,1.264000
